County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
KING,17122773.0,16803336.0,18111756.0,17332762.0,18837431.0,20624084.0,19756111.0,20455650.0,20200545.0,19042217.0,11792183.0,12769703.0,14403084.0,14161469.0,15004540.0,12047418.0
KINNEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLEBERG,1648680.0,2128971.0,2773031.0,3145184.0,3166934.0,3763328.0,2977466.0,2201361.0,2027924.0,1364155.0,808016.0,628579.0,736898.0,711564.0,759171.0,440117.0
KNOX,1760145.0,2499000.0,2917836.0,3115052.0,3783520.0,3517946.0,2600027.0,2815868.0,3115116.0,2380140.0,2202957.0,1932190.0,2179106.0,1841771.0,1664222.0,1220534.0
LA SALLE,3001735.0,5404113.0,14322544.0,36473457.0,53662673.0,56362290.0,41193263.0,58406616.0,61801582.0,66463908.0,44078305.0,40317082.0,41215571.0,46458801.0,49171087.0,36785045.0
LAMAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMB,6417353.0,6535991.0,6987683.0,7819520.0,7687267.0,6733488.0,6289103.0,5053314.0,4572841.0,3461400.0,3395219.0,5002129.0,4393565.0,4391211.0,4404697.0,3659443.0
LAMPASAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAVACA,4053028.0,4094982.0,3417641.0,2812551.0,2358648.0,6026574.0,5832638.0,5408632.0,4853874.0,8425229.0,7679705.0,7490799.0,5360830.0,10874933.0,9528209.0,6551676.0
LEE,3189143.0,2800093.0,3223963.0,3636399.0,4610574.0,4345349.0,3289602.0,3696372.0,4984010.0,5788265.0,4275447.0,5058366.0,5719607.0,5341208.0,4661435.0,3956240.0
LEON,4887239.0,3601363.0,7142673.0,9752244.0,9360862.0,7626528.0,5526078.0,5050905.0,4132722.0,2868111.0,2160544.0,1631671.0,2107861.0,1599321.0,1540464.0,1129947.0
LIBERTY,76594006.0,52266298.0,34488567.0,21345472.0,20998058.0,16831304.0,10848564.0,14938797.0,9093511.0,9236865.0,9011417.0,13831556.0,11540534.0,8640006.0,8540653.0,6121497.0
LIMESTONE,5902049.0,5322577.0,5243584.0,5498670.0,4774769.0,4128783.0,4656720.0,4596187.0,3862685.0,3425215.0,2899416.0,2545878.0,2625136.0,2578970.0,2422167.0,1755794.0
